model,group,scheme,benchmark,acc_before,acc_after,delta,pred,lo,hi,inside_90
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,deepseek-r1-distill,w8a8_int,hellaswag,76.78,76.8,0.02,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,deepseek-r1-distill,w8a8_int,ifeval,38.37,38.4,0.03,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval,78.9,79.0,0.1,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8,deepseek-r1-distill,w8a8_int,gpqa,50.53,50.65,0.12,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,mmlu_pro,43.45,43.57,0.12,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,truthfulqa,58.41,58.54,0.13,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/SmolLM-1.7B-Instruct-quantized.w8a16,smollm,w8a16,winogrande,61.01,61.17,0.16,-0.08406976744186047,-0.98,0.8118604651162791,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,deepseek-r1-distill,w8a8_int,arc_challenge,45.05,45.22,0.17,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,gpqa,31.88,32.05,0.17,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3,fp8_dynamic,arc_challenge,72.53,72.7,0.17,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval_plus,72.6,72.8,0.2,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3,w4a16,truthfulqa,58.13,58.34,0.21,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,mmlu_pro,34.86,35.09,0.23,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,arc_challenge,69.37,69.62,0.25,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,arc_challenge,63.4,63.65,0.25,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/SmolLM-1.7B-Instruct-quantized.w8a16,smollm,w8a16,arc_challenge,49.06,49.32,0.26,-0.08406976744186047,-0.98,0.8118604651162791,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,gsm8k,87.04,87.34,0.3,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,gsm8k,62.77,63.08,0.31,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3,w8a8_int,truthfulqa,58.13,58.44,0.31,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/SmolLM-1.7B-Instruct-quantized.w8a16,smollm,w8a16,mmlu,28.1,28.42,0.32,-0.08406976744186047,-0.98,0.8118604651162791,True
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3,w8a8_int,winogrande,79.4,79.72,0.32,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3,w4a16,truthfulqa,62.2,62.57,0.37,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,musr,43.95,44.34,0.39,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,musr,42.2,42.59,0.39,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,hellaswag,54.33,54.76,0.43,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-4b-it-FP8-dynamic,gemma-3,fp8_dynamic,arc_challenge,56.57,57.08,0.51,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,truthfulqa,54.77,55.29,0.52,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,winogrande,83.82,84.37,0.55,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8,deepseek-r1-distill,w8a8_int,truthfulqa,45.55,46.14,0.59,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,truthfulqa,56.27,56.88,0.61,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/SmolLM3-3B-quantized.w4a16,smollm3,w4a16,gpqa,41.22,41.86,0.64,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,arc_challenge,71.76,72.53,0.77,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,ifeval,86.9,87.69,0.79,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8,deepseek-r1-distill,w8a8_int,ifeval,39.38,40.2,0.82,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval_plus,44.1,45.0,0.9,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,musr,42.2,43.12,0.92,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,bbh,47.39,48.33,0.94,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,mmlu_pro,47.45,48.4,0.95,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,deepseek-r1-distill,w8a8_int,humaneval,49.9,50.9,1.0,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,winogrande,69.38,70.48,1.1,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,truthfulqa,56.67,57.79,1.12,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,deepseek-r1-distill,w4a16,winogrande,54.3,55.49,1.19,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,winogrande,78.22,79.48,1.26,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
