model,family,base_model,scheme,benchmark,acc_before,acc_after,y,yhat,lo,hi,backoff,covered,fold
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu_cot,47.1,46.79,-0.31,-0.06713178294573643,-1.594263565891473,1.46,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,arc_challenge,58.36,57.25,-1.11,-0.06713178294573643,-1.594263565891473,1.46,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,gsm8k,45.72,45.94,0.22,-0.06713178294573643,-1.594263565891473,1.46,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,winogrande,62.27,61.4,-0.87,-0.06713178294573643,-1.594263565891473,1.46,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,hellaswag,61.01,60.95,-0.06,-0.06713178294573643,-1.594263565891473,1.46,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,truthfulqa,43.52,44.23,0.71,-0.06713178294573643,-1.594263565891473,1.46,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,mmlu,47.66,47.76,0.1,-0.24863636363636363,-1.7757681465821,1.278495419309373,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,arc_challenge,58.36,57.85,-0.51,-0.24863636363636363,-1.7757681465821,1.278495419309373,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,gsm8k,45.72,45.49,-0.23,-0.24863636363636363,-1.7757681465821,1.278495419309373,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,hellaswag,61.01,61.0,-0.01,-0.24863636363636363,-1.7757681465821,1.278495419309373,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,winogrande,62.27,62.35,0.08,-0.24863636363636363,-1.7757681465821,1.278495419309373,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,truthfulqa,43.52,43.08,-0.44,-0.24863636363636363,-1.7757681465821,1.278495419309373,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu,47.66,47.95,0.29,-0.3130952380952381,-1.8402270210409746,1.2140365448504984,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu_cot,47.1,44.63,-2.47,-0.3130952380952381,-1.8402270210409746,1.2140365448504984,False,False,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,arc_challenge,58.36,56.14,-2.22,-0.3130952380952381,-1.8402270210409746,1.2140365448504984,False,False,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,gsm8k,45.72,46.7,0.98,-0.3130952380952381,-1.8402270210409746,1.2140365448504984,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,hellaswag,61.01,60.95,-0.06,-0.3130952380952381,-1.8402270210409746,1.2140365448504984,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,winogrande,62.27,61.33,-0.94,-0.3130952380952381,-1.8402270210409746,1.2140365448504984,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,truthfulqa,43.52,42.84,-0.68,-0.3130952380952381,-1.8402270210409746,1.2140365448504984,False,True,Llama-3.2-1B-Instruct|s1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu,47.66,47.55,-0.11,-0.08629032258064516,-1.6670341242335376,1.4944534790722475,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu_cot,47.1,46.79,-0.31,-0.08629032258064516,-1.6670341242335376,1.4944534790722475,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,arc_challenge,58.36,57.25,-1.11,-0.08629032258064516,-1.6670341242335376,1.4944534790722475,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,gsm8k,45.72,45.94,0.22,-0.08629032258064516,-1.6670341242335376,1.4944534790722475,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,winogrande,62.27,61.4,-0.87,-0.08629032258064516,-1.6670341242335376,1.4944534790722475,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,hellaswag,61.01,60.95,-0.06,-0.08629032258064516,-1.6670341242335376,1.4944534790722475,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,truthfulqa,43.52,44.23,0.71,-0.08629032258064516,-1.6670341242335376,1.4944534790722475,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,mmlu,47.66,47.76,0.1,-0.37203703703703705,-1.9527808386899297,1.2087067646158554,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,arc_challenge,58.36,57.85,-0.51,-0.37203703703703705,-1.9527808386899297,1.2087067646158554,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,gsm8k,45.72,45.49,-0.23,-0.37203703703703705,-1.9527808386899297,1.2087067646158554,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,hellaswag,61.01,61.0,-0.01,-0.37203703703703705,-1.9527808386899297,1.2087067646158554,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,winogrande,62.27,62.35,0.08,-0.37203703703703705,-1.9527808386899297,1.2087067646158554,False,True,Llama-3.2-1B-Instruct|s2
