model,family,base_model,scheme,benchmark,acc_before,acc_after,y,yhat,lo,hi,backoff,covered,fold
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,granite,granite-3.1-8b-instruct,w4a16,mmlu,65.52,64.25,-1.27,-0.7408411214953271,-2.0510280373831775,0.5693457943925234,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,granite,granite-3.1-8b-instruct,w4a16,truthfulqa,60.57,60.17,-0.4,-0.7408411214953271,-2.0510280373831775,0.5693457943925234,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,granite,granite-3.1-8b-instruct,w4a16,winogrande,80.19,78.37,-1.82,-0.7408411214953271,-2.0510280373831775,0.5693457943925234,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,granite,granite-3.1-8b-instruct,w4a16,ifeval,74.01,73.14,-0.87,-0.7408411214953271,-2.0510280373831775,0.5693457943925234,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,granite,granite-3.1-8b-instruct,w4a16,bbh,53.19,51.52,-1.67,-0.7408411214953271,-2.0510280373831775,0.5693457943925234,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,granite,granite-3.1-8b-instruct,w4a16,gpqa,31.76,29.91,-1.85,-0.7408411214953271,-2.0510280373831775,0.5693457943925234,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,granite,granite-3.1-8b-instruct,w4a16,musr,46.01,45.75,-0.26,-0.7408411214953271,-2.0510280373831775,0.5693457943925234,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,granite,granite-3.1-8b-instruct,w4a16,mmlu_pro,35.81,34.23,-1.58,-0.7408411214953271,-2.0510280373831775,0.5693457943925234,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,granite,granite-3.1-8b-instruct,w4a16,humaneval,71.0,70.5,-0.5,-0.7408411214953271,-2.0510280373831775,0.5693457943925234,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,arc_challenge,66.81,67.06,0.25,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,gsm8k,64.52,65.66,1.14,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,False,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,hellaswag,84.18,83.93,-0.25,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,mmlu,65.52,65.03,-0.49,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,truthfulqa,60.57,60.02,-0.55,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,winogrande,80.19,79.87,-0.32,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,ifeval,74.01,73.5,-0.51,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,bbh,53.19,52.59,-0.6,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,gpqa,31.76,30.62,-1.14,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,musr,46.01,44.3,-1.71,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,False,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,mmlu_pro,35.81,35.41,-0.4,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,granite,granite-3.1-8b-instruct,w8a8_int,humaneval,71.0,70.5,-0.5,-0.2914285714285714,-1.601615487316422,1.0187583444592792,False,True,test=granite|cal=llama-3.1+llama-3.3
RedHatAI/granite-3.1-2b-base-FP8-dynamic,granite,granite-3.1-2b-base,fp8_dynamic,arc_challenge,53.75,53.5,-0.25,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-FP8-dynamic,granite,granite-3.1-2b-base,fp8_dynamic,gsm8k,47.84,46.1,-1.74,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,False,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-FP8-dynamic,granite,granite-3.1-2b-base,fp8_dynamic,hellaswag,77.94,77.76,-0.18,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-FP8-dynamic,granite,granite-3.1-2b-base,fp8_dynamic,mmlu,52.88,52.61,-0.27,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-FP8-dynamic,granite,granite-3.1-2b-base,fp8_dynamic,truthfulqa,39.04,39.84,0.8,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-FP8-dynamic,granite,granite-3.1-2b-base,fp8_dynamic,winogrande,74.43,74.43,0.0,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-FP8-dynamic,granite,granite-3.1-2b-base,fp8_dynamic,humaneval,30.0,30.4,0.4,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w4a16,granite,granite-3.1-2b-base,w4a16,arc_challenge,53.75,51.96,-1.79,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w4a16,granite,granite-3.1-2b-base,w4a16,gsm8k,47.84,42.53,-5.31,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,False,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w4a16,granite,granite-3.1-2b-base,w4a16,hellaswag,77.94,75.38,-2.56,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,False,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w4a16,granite,granite-3.1-2b-base,w4a16,mmlu,52.88,51.09,-1.79,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w4a16,granite,granite-3.1-2b-base,w4a16,truthfulqa,39.04,41.35,2.31,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,False,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w4a16,granite,granite-3.1-2b-base,w4a16,winogrande,74.43,74.27,-0.16,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w4a16,granite,granite-3.1-2b-base,w4a16,humaneval,30.0,29.8,-0.2,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w8a8,granite,granite-3.1-2b-base,w8a8_int,arc_challenge,53.75,54.01,0.26,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w8a8,granite,granite-3.1-2b-base,w8a8_int,gsm8k,47.84,46.55,-1.29,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w8a8,granite,granite-3.1-2b-base,w8a8_int,hellaswag,77.94,77.94,0.0,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w8a8,granite,granite-3.1-2b-base,w8a8_int,mmlu,52.88,52.34,-0.54,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w8a8,granite,granite-3.1-2b-base,w8a8_int,truthfulqa,39.04,38.12,-0.92,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w8a8,granite,granite-3.1-2b-base,w8a8_int,winogrande,74.43,74.35,-0.08,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-base-quantized.w8a8,granite,granite-3.1-2b-base,w8a8_int,humaneval,30.0,29.6,-0.4,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,arc_challenge,55.63,55.03,-0.6,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,gsm8k,60.96,61.49,0.53,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,hellaswag,75.21,75.26,0.05,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,mmlu,54.38,54.24,-0.14,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,truthfulqa,55.93,55.42,-0.51,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,winogrande,69.67,69.61,-0.06,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,ifeval,67.99,66.79,-1.2,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,bbh,44.11,44.24,0.13,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,gpqa,28.3,26.9,-1.4,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,False,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,musr,35.12,35.12,0.0,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,mmlu_pro,26.87,28.33,1.46,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,granite,granite-3.1-2b-instruct,fp8_dynamic,humaneval,53.4,54.9,1.5,0.0726470588235294,-1.3475490196078432,1.4928431372549018,False,False,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,arc_challenge,55.63,54.18,-1.45,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,gsm8k,60.96,62.85,1.89,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,False,test=granite|cal=llama-3.1+mistral
