set,model,reason,label,n_nums
training,RedHatAI/Qwen2.5-72B-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen2.5-7B-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen2.5-7B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen2.5-7B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen2.5-7B-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen2.5-7B-quantized.w8a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen2.5-7B-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-14B-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-14B-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-14B-FP8-dynamic,benchmark_not_whitelisted,MGSM (0-shot),3
training,RedHatAI/Qwen3-14B-FP8-dynamic,benchmark_not_whitelisted,AIME 2024,3
training,RedHatAI/Qwen3-14B-FP8-dynamic,benchmark_not_whitelisted,AIME 2025,3
training,RedHatAI/Qwen3-14B-FP8-dynamic,duplicate_benchmark,math_lvl5,3
training,RedHatAI/Qwen3-14B-FP8-dynamic,benchmark_not_whitelisted,LiveCodeBench,3
training,RedHatAI/Qwen3-14B-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-14B-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-14B-NVFP4,benchmark_not_whitelisted,AIME24 (0-shot),3
training,RedHatAI/Qwen3-14B-NVFP4,benchmark_not_whitelisted,AIME25 (0-shot),3
training,RedHatAI/Qwen3-14B-NVFP4,duplicate_benchmark,gpqa,3
training,RedHatAI/Qwen3-14B-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-14B-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-14B-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-14B-quantized.w4a16,benchmark_not_whitelisted,MGSM (0-shot),3
training,RedHatAI/Qwen3-14B-quantized.w4a16,benchmark_not_whitelisted,AIME 2024,3
training,RedHatAI/Qwen3-14B-quantized.w4a16,benchmark_not_whitelisted,AIME 2025,3
training,RedHatAI/Qwen3-14B-quantized.w4a16,duplicate_benchmark,math_lvl5,3
training,RedHatAI/Qwen3-14B-quantized.w4a16,benchmark_not_whitelisted,LiveCodeBench,3
training,RedHatAI/Qwen3-32B-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-32B-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-32B-FP8-dynamic,benchmark_not_whitelisted,AIME 2024,3
training,RedHatAI/Qwen3-32B-FP8-dynamic,benchmark_not_whitelisted,AIME 2025,3
training,RedHatAI/Qwen3-32B-FP8-dynamic,duplicate_benchmark,math_lvl5,3
training,RedHatAI/Qwen3-32B-FP8-dynamic,benchmark_not_whitelisted,LiveCodeBench,3
training,RedHatAI/Qwen3-32B-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-32B-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-32B-NVFP4,benchmark_not_whitelisted,AIME24 (0-shot),3
training,RedHatAI/Qwen3-32B-NVFP4,benchmark_not_whitelisted,AIME25 (0-shot),3
training,RedHatAI/Qwen3-32B-NVFP4,duplicate_benchmark,gpqa,3
training,RedHatAI/Qwen3-32B-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-32B-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-32B-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-32B-quantized.w4a16,benchmark_not_whitelisted,MGSM (0-shot),3
training,RedHatAI/Qwen3-32B-quantized.w4a16,benchmark_not_whitelisted,AIME 2024,3
training,RedHatAI/Qwen3-32B-quantized.w4a16,benchmark_not_whitelisted,AIME 2025,3
training,RedHatAI/Qwen3-32B-quantized.w4a16,duplicate_benchmark,math_lvl5,3
training,RedHatAI/Qwen3-32B-quantized.w4a16,benchmark_not_whitelisted,LiveCodeBench,3
training,RedHatAI/Qwen3-8B-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-8B-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-8B-FP8-dynamic,benchmark_not_whitelisted,MGSM (0-shot),3
training,RedHatAI/Qwen3-8B-FP8-dynamic,benchmark_not_whitelisted,AIME 2024,3
training,RedHatAI/Qwen3-8B-FP8-dynamic,benchmark_not_whitelisted,AIME 2025,3
training,RedHatAI/Qwen3-8B-FP8-dynamic,duplicate_benchmark,math_lvl5,3
training,RedHatAI/Qwen3-8B-FP8-dynamic,benchmark_not_whitelisted,LiveCodeBench,3
training,RedHatAI/Qwen3-8B-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-8B-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-8B-NVFP4,benchmark_not_whitelisted,AIME24 (0-shot),3
training,RedHatAI/Qwen3-8B-NVFP4,benchmark_not_whitelisted,AIME25 (0-shot),3
training,RedHatAI/Qwen3-8B-NVFP4,duplicate_benchmark,gpqa,3
training,RedHatAI/Qwen3-8B-NVFP4,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-8B-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-8B-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Qwen3-8B-quantized.w4a16,benchmark_not_whitelisted,MGSM (0-shot),3
training,RedHatAI/Qwen3-8B-quantized.w4a16,benchmark_not_whitelisted,AIME 2024,3
training,RedHatAI/Qwen3-8B-quantized.w4a16,benchmark_not_whitelisted,AIME 2025,3
training,RedHatAI/Qwen3-8B-quantized.w4a16,duplicate_benchmark,math_lvl5,3
training,RedHatAI/Qwen3-8B-quantized.w4a16,benchmark_not_whitelisted,LiveCodeBench,3
training,RedHatAI/gemma-2-27b-it-quantized.w8a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/gemma-2-2b-it-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/gemma-2-2b-it-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/gemma-2-2b-it-quantized.w8a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/gemma-2-2b-it-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/gemma-2-2b-quantized.w8a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/gemma-2-9b-it-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/gemma-2-9b-it-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/gemma-2-9b-it-quantized.w8a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/gemma-2-9b-it-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/granite-3.1-2b-base-FP8-dynamic,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-2b-base-quantized.w4a16,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-2b-base-quantized.w8a8,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-8b-base-FP8-dynamic,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-8b-base-quantized.w4a16,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-8b-base-quantized.w8a8,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-8b-instruct-FP8-dynamic,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-8b-instruct-FP8-dynamic,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,benchmark_not_whitelisted,Average Score,3
training,RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,benchmark_not_whitelisted,Average Score,3
