model,base_model,scheme,recipe,params_b,benchmark,acc_before,acc_after,n_items,flip_rate,is_control,method,weight_bits,act_bits,num_type,is_instruct,family,notes
local/Qwen2.5-0.5B-Instruct-control_w4a16_good,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,arc_challenge,31.57,30.7167,1172,0.1314,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-control_w4a16_good,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,hellaswag,50.7,46.5333,3000,0.1117,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False
local/Qwen2.5-0.5B-Instruct-control_w4a16_good,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,mmlu,31.9333,30.8667,3000,0.1213,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False
local/SmolLM-135M-Instruct-control_w4a16_good,SmolLM-135M-Instruct,w4a16,control_w4a16_good,0.135,arc_challenge,30.0341,28.2423,1172,0.1323,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False
local/SmolLM-135M-Instruct-control_w4a16_good,SmolLM-135M-Instruct,w4a16,control_w4a16_good,0.135,hellaswag,39.6333,38.0667,3000,0.0983,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False
local/SmolLM-135M-Instruct-control_w4a16_good,SmolLM-135M-Instruct,w4a16,control_w4a16_good,0.135,mmlu,29.7333,28.6333,3000,0.1097,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-control_w4a16_good,Qwen2.5-1.5B-Instruct,w4a16,control_w4a16_good,1.5,arc_challenge,39.5051,38.1399,1172,0.1195,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-control_w4a16_good,Qwen2.5-1.5B-Instruct,w4a16,control_w4a16_good,1.5,hellaswag,65.6,61.8667,3000,0.0813,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-control_w4a16_good,Qwen2.5-1.5B-Instruct,w4a16,control_w4a16_good,1.5,mmlu,36.2333,34.8667,3000,0.1117,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_randcalib,Qwen2.5-1.5B-Instruct,w4a16,w4a16_randcalib,1.5,arc_challenge,39.5051,35.6655,1172,0.1459,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_randcalib,Qwen2.5-1.5B-Instruct,w4a16,w4a16_randcalib,1.5,hellaswag,65.6,61.9667,3000,0.097,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_randcalib,Qwen2.5-1.5B-Instruct,w4a16,w4a16_randcalib,1.5,mmlu,36.2333,34.3667,3000,0.1127,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_wrongdomain,Qwen2.5-1.5B-Instruct,w4a16,w4a16_wrongdomain,1.5,arc_challenge,39.5051,37.7133,1172,0.1442,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_wrongdomain,Qwen2.5-1.5B-Instruct,w4a16,w4a16_wrongdomain,1.5,hellaswag,65.6,61.3667,3000,0.105,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_wrongdomain,Qwen2.5-1.5B-Instruct,w4a16,w4a16_wrongdomain,1.5,mmlu,36.2333,35.7333,3000,0.1143,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False
local/Qwen2.5-1.5B-Instruct-w4a16_pertensor,Qwen2.5-1.5B-Instruct,w4a16,w4a16_pertensor,1.5,arc_challenge,39.5051,25.8532,1172,0.4437,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-1.5B-Instruct-w4a16_pertensor,Qwen2.5-1.5B-Instruct,w4a16,w4a16_pertensor,1.5,hellaswag,65.6,26.1,3000,0.5663,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-1.5B-Instruct-w4a16_pertensor,Qwen2.5-1.5B-Instruct,w4a16,w4a16_pertensor,1.5,mmlu,36.2333,26.4667,3000,0.4423,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-1.5B-Instruct-w8a8_nosmooth,Qwen2.5-1.5B-Instruct,w8a8_int,w8a8_nosmooth,1.5,arc_challenge,39.5051,39.1638,1172,0.058,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-1.5B-Instruct-w8a8_nosmooth,Qwen2.5-1.5B-Instruct,w8a8_int,w8a8_nosmooth,1.5,hellaswag,65.6,65.2667,3000,0.036,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True
local/Qwen2.5-1.5B-Instruct-w8a8_nosmooth,Qwen2.5-1.5B-Instruct,w8a8_int,w8a8_nosmooth,1.5,mmlu,36.2333,36.0667,3000,0.0483,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True
