model,base_model,scheme,recipe,params_b,benchmark,acc_before,acc_after,n_items,flip_rate,is_control,method,weight_bits,act_bits,num_type,is_instruct,family,notes,delta,ctrl_delta,excess
local/SmolLM-135M-Instruct-w4a16_pertensor,SmolLM-135M-Instruct,w4a16,w4a16_pertensor,0.135,mmlu,29.7333,26.2,3000,0.3767,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-3.5333000000000006,-1.1000000000000014,-2.433299999999999
local/SmolLM-135M-Instruct-w8a8_nosmooth,SmolLM-135M-Instruct,w8a8_int,w8a8_nosmooth,0.135,arc_challenge,30.0341,29.0956,1172,0.0435,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,-0.9384999999999977,-1.7917999999999985,0.8533000000000008
local/SmolLM-135M-Instruct-w8a8_nosmooth,SmolLM-135M-Instruct,w8a8_int,w8a8_nosmooth,0.135,hellaswag,39.6333,39.7667,3000,0.0347,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,0.13340000000000174,-1.566600000000001,1.7000000000000028
local/SmolLM-135M-Instruct-w8a8_nosmooth,SmolLM-135M-Instruct,w8a8_int,w8a8_nosmooth,0.135,mmlu,29.7333,29.3333,3000,0.0387,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,-0.3999999999999986,-1.1000000000000014,0.7000000000000028
local/Qwen2.5-0.5B-Instruct-control_w4a16_good,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,arc_challenge,31.57,30.7167,1172,0.1314,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-0.8533000000000008,-0.8533000000000008,0.0
local/Qwen2.5-0.5B-Instruct-control_w4a16_good,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,hellaswag,50.7,46.5333,3000,0.1117,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-4.166700000000006,-4.166700000000006,0.0
local/Qwen2.5-0.5B-Instruct-control_w4a16_good,Qwen2.5-0.5B-Instruct,w4a16,control_w4a16_good,0.5,mmlu,31.9333,30.8667,3000,0.1213,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-1.0665999999999976,-1.0665999999999976,0.0
local/SmolLM-135M-Instruct-control_w4a16_good,SmolLM-135M-Instruct,w4a16,control_w4a16_good,0.135,arc_challenge,30.0341,28.2423,1172,0.1323,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-1.7917999999999985,-1.7917999999999985,0.0
local/SmolLM-135M-Instruct-control_w4a16_good,SmolLM-135M-Instruct,w4a16,control_w4a16_good,0.135,hellaswag,39.6333,38.0667,3000,0.0983,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-1.566600000000001,-1.566600000000001,0.0
local/SmolLM-135M-Instruct-control_w4a16_good,SmolLM-135M-Instruct,w4a16,control_w4a16_good,0.135,mmlu,29.7333,28.6333,3000,0.1097,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-1.1000000000000014,-1.1000000000000014,0.0
local/Qwen2.5-1.5B-Instruct-control_w4a16_good,Qwen2.5-1.5B-Instruct,w4a16,control_w4a16_good,1.5,arc_challenge,39.5051,38.1399,1172,0.1195,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-1.3652000000000015,-1.3652000000000015,0.0
local/Qwen2.5-1.5B-Instruct-control_w4a16_good,Qwen2.5-1.5B-Instruct,w4a16,control_w4a16_good,1.5,hellaswag,65.6,61.8667,3000,0.0813,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-3.7332999999999927,-3.7332999999999927,0.0
local/Qwen2.5-1.5B-Instruct-control_w4a16_good,Qwen2.5-1.5B-Instruct,w4a16,control_w4a16_good,1.5,mmlu,36.2333,34.8667,3000,0.1117,1,gptq,4,16,int,1,adversarial,calib=good group=128 per_tensor=False,-1.3665999999999983,-1.3665999999999983,0.0
local/Qwen2.5-1.5B-Instruct-w4a16_randcalib,Qwen2.5-1.5B-Instruct,w4a16,w4a16_randcalib,1.5,arc_challenge,39.5051,35.6655,1172,0.1459,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False,-3.8395999999999972,-1.3652000000000015,-2.4743999999999957
local/Qwen2.5-1.5B-Instruct-w4a16_randcalib,Qwen2.5-1.5B-Instruct,w4a16,w4a16_randcalib,1.5,hellaswag,65.6,61.9667,3000,0.097,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False,-3.6332999999999913,-3.7332999999999927,0.10000000000000142
