model,pub_before,pub_delta,our_before,our_delta,gap,se,z,ratio
Qwen2.5-0.5B,47.57,-2.53,47.2,-7.7333,-5.2033000000000005,0.9843779761859772,-5.28587608203147,3.0566403162055336
Qwen2.5-1.5B,60.98,-2.05,59.5667,-4.399999999999999,-2.3499999999999988,0.8027037643697289,-2.927605555512978,2.146341463414634
