model,benchmark,reason
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Portuguese MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Spanish MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Italian MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,German MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,French MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Hindi MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Thai MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,arc_challenge,recovery_mismatch
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,Portuguese MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,Spanish MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,Italian MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,German MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,French MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,Hindi MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,Thai MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,Portuguese MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,Spanish MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,Italian MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,German MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,French MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,Hindi MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,Thai MMLU (5-shot),benchmark_not_whitelisted
RedHatAI/Meta-Llama-3.1-8B-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Meta-Llama-3.1-8B-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Mistral-7B-Instruct-v0.3-FP8,Average,aggregate_row_ignored
RedHatAI/Mistral-7B-Instruct-v0.3-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Mistral-7B-Instruct-v0.3-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-FP8-dynamic,Average Score,aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-FP8-dynamic,Recovery (%),aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-FP8-dynamic,Average Score,aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-FP8-dynamic,Recovery (%),aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w4a16,Recovery (%),aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w4a16,Recovery (%),aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w8a8,Average Score,aggregate_row_ignored
RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w8a8,Recovery (%),aggregate_row_ignored
