model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,musr,756,19.5,19.4,-0.1,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,humaneval,164,86.8,85.1,-1.7,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,humaneval_plus,164,80.1,78.9,-1.2,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a16,8,16,int,gptq,mmlu,14042,87.38,87.59,0.21,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a16,8,16,int,gptq,mmlu_cot,14042,88.26,88.19,-0.07,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a16,8,16,int,gptq,arc_challenge,1172,94.97,94.8,-0.17,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a16,8,16,int,gptq,hellaswag,10042,88.33,88.52,0.19,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a16,8,16,int,gptq,winogrande,1267,87.21,87.92,0.71,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a16,8,16,int,gptq,truthfulqa,817,64.64,65.41,0.77,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,arena_hard,500,67.4,64.6,-2.8,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,mmlu,14042,87.4,87.1,-0.3,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,arc_challenge,1172,95.0,94.4,-0.6,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,gsm8k,1319,96.4,95.5,-0.9,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,hellaswag,10042,88.3,88.2,-0.1,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,winogrande,1267,87.2,86.1,-1.1,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,truthfulqa,817,64.6,64.4,-0.2,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,mmlu_pro,12032,59.7,58.4,-1.3,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,ifeval,541,87.7,87.0,-0.7,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,bbh,6511,67.0,66.7,-0.3,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,math_lvl5,1324,39.0,35.8,-3.2,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,gpqa,448,19.5,20.4,0.9,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,musr,756,19.5,19.2,-0.3,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,humaneval,164,86.8,86.9,0.1,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w8a8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w8a8_int,8,8,int,gptq,humaneval_plus,164,80.1,80.4,0.3,arith,1
RedHatAI/Meta-Llama-3.1-70B-FP8,Meta-Llama-3.1-70B,llama-3.1,70.0,0,fp8,8,8,fp,rtn,mmlu,14042,78.81,78.85,0.04,arith,1
RedHatAI/Meta-Llama-3.1-70B-FP8,Meta-Llama-3.1-70B,llama-3.1,70.0,0,fp8,8,8,fp,rtn,arc_challenge,1172,93.43,93.43,0.0,arith,1
RedHatAI/Meta-Llama-3.1-70B-FP8,Meta-Llama-3.1-70B,llama-3.1,70.0,0,fp8,8,8,fp,rtn,gsm8k,1319,81.88,81.35,-0.53,arith,1
RedHatAI/Meta-Llama-3.1-70B-FP8,Meta-Llama-3.1-70B,llama-3.1,70.0,0,fp8,8,8,fp,rtn,hellaswag,10042,87.98,87.82,-0.16,arith,1
RedHatAI/Meta-Llama-3.1-70B-FP8,Meta-Llama-3.1-70B,llama-3.1,70.0,0,fp8,8,8,fp,rtn,winogrande,1267,85.78,85.87,0.09,arith,1
RedHatAI/Meta-Llama-3.1-70B-FP8,Meta-Llama-3.1-70B,llama-3.1,70.0,0,fp8,8,8,fp,rtn,truthfulqa,817,51.18,50.9,-0.28,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,arena_hard,500,57.0,57.9,0.9,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,mmlu,14042,83.8,83.8,0.0,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,mmlu_cot,14042,86.0,85.5,-0.5,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,arc_challenge,1172,93.3,93.5,0.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,94.9,94.5,-0.4,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,hellaswag,10042,86.8,86.6,-0.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,winogrande,1267,85.3,84.6,-0.7,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,truthfulqa,817,60.7,60.6,-0.1,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,mmlu_pro,12032,48.1,47.7,-0.4,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,ifeval,541,86.4,87.6,1.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,bbh,6511,55.8,54.9,-0.9,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,math_lvl5,1324,26.1,28.0,1.9,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,gpqa,448,15.4,14.6,-0.8,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,musr,756,18.2,17.2,-1.0,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,humaneval,164,79.7,80.0,0.3,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8_dynamic,8,8,fp,rtn,humaneval_plus,164,74.8,75.0,0.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8,8,8,fp,rtn,mmlu,14042,83.83,83.73,-0.1,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8,8,8,fp,rtn,mmlu_cot,14042,86.01,85.44,-0.57,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8,8,8,fp,rtn,arc_challenge,1172,93.26,92.92,-0.34,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8,8,8,fp,rtn,gsm8k,1319,94.92,94.54,-0.38,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8,8,8,fp,rtn,hellaswag,10042,86.75,86.64,-0.11,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8,8,8,fp,rtn,winogrande,1267,85.32,85.95,0.63,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,fp8,8,8,fp,rtn,truthfulqa,817,60.68,60.84,0.16,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,arena_hard,500,57.0,57.0,0.0,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,mmlu,14042,83.9,83.6,-0.3,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,mmlu_cot,14042,86.2,85.6,-0.6,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,arc_challenge,1172,93.3,92.8,-0.5,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,gsm8k,1319,95.4,94.4,-1.0,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,hellaswag,10042,86.7,86.3,-0.4,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,winogrande,1267,85.3,85.5,0.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,truthfulqa,817,60.7,59.8,-0.9,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,mmlu_pro,12032,48.1,47.3,-0.8,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,ifeval,541,86.4,85.7,-0.7,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,bbh,6511,55.8,55.0,-0.8,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,math_lvl5,1324,26.1,24.4,-1.7,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,gpqa,448,15.4,13.9,-1.5,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,musr,756,18.2,17.3,-0.9,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,humaneval,164,79.7,80.5,0.8,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w4a16,4,16,int,gptq,humaneval_plus,164,74.8,74.2,-0.6,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a16,8,16,int,gptq,mmlu,14042,83.94,81.37,-2.57,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a16,8,16,int,gptq,mmlu_cot,14042,86.23,83.86,-2.37,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a16,8,16,int,gptq,arc_challenge,1172,93.34,92.32,-1.02,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a16,8,16,int,gptq,gsm8k,1319,95.38,92.34,-3.04,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a16,8,16,int,gptq,hellaswag,10042,86.66,86.01,-0.65,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a16,8,16,int,gptq,winogrande,1267,85.32,85.56,0.24,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a16,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a16,8,16,int,gptq,truthfulqa,817,60.65,59.39,-1.26,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,arena_hard,500,57.0,56.3,-0.7,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,mmlu,14042,83.9,83.7,-0.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,mmlu_cot,14042,86.2,85.8,-0.4,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,arc_challenge,1172,93.3,93.1,-0.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,gsm8k,1319,95.4,94.2,-1.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,hellaswag,10042,86.7,86.7,0.0,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,winogrande,1267,85.1,85.3,0.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,truthfulqa,817,60.7,61.4,0.7,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,mmlu_pro,12032,48.1,47.1,-1.0,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,ifeval,541,86.4,86.6,0.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,bbh,6511,55.8,55.2,-0.6,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,math_lvl5,1324,26.1,23.9,-2.2,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,gpqa,448,15.4,13.6,-1.8,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,musr,756,18.2,16.8,-1.4,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,humaneval,164,79.7,78.7,-1.0,arith,1
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,Meta-Llama-3.1-70B-Instruct,llama-3.1,70.0,1,w8a8_int,8,8,int,gptq,humaneval_plus,164,74.8,74.0,-0.8,arith,1
RedHatAI/Meta-Llama-3.1-8B-FP8,Meta-Llama-3.1-8B,llama-3.1,8.0,0,fp8,8,8,fp,rtn,mmlu,14042,65.19,65.01,-0.18,arith,1
RedHatAI/Meta-Llama-3.1-8B-FP8,Meta-Llama-3.1-8B,llama-3.1,8.0,0,fp8,8,8,fp,rtn,arc_challenge,1172,78.84,77.73,-1.11,arith,1
RedHatAI/Meta-Llama-3.1-8B-FP8,Meta-Llama-3.1-8B,llama-3.1,8.0,0,fp8,8,8,fp,rtn,gsm8k,1319,50.34,48.82,-1.52,arith,1
RedHatAI/Meta-Llama-3.1-8B-FP8,Meta-Llama-3.1-8B,llama-3.1,8.0,0,fp8,8,8,fp,rtn,hellaswag,10042,82.33,81.96,-0.37,arith,1
RedHatAI/Meta-Llama-3.1-8B-FP8,Meta-Llama-3.1-8B,llama-3.1,8.0,0,fp8,8,8,fp,rtn,winogrande,1267,77.98,78.06,0.08,arith,1
RedHatAI/Meta-Llama-3.1-8B-FP8,Meta-Llama-3.1-8B,llama-3.1,8.0,0,fp8,8,8,fp,rtn,truthfulqa,817,44.14,43.83,-0.31,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,mmlu,14042,67.95,68.02,0.07,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,arena_hard,500,25.8,27.2,1.4,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,mmlu_cot,14042,71.2,71.6,0.4,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,arc_challenge,1172,82.0,81.2,-0.8,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,82.0,82.0,0.0,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,hellaswag,10042,80.5,80.0,-0.5,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,winogrande,1267,78.5,77.7,-0.8,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,truthfulqa,817,54.5,54.3,-0.2,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,mmlu_pro,12032,30.8,31.2,0.4,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,ifeval,541,77.9,77.2,-0.7,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,bbh,6511,30.1,29.7,-0.4,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,math_lvl5,1324,15.7,16.5,0.8,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,gpqa,448,3.7,5.7,2.0,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,musr,756,7.6,7.5,-0.1,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,humaneval,164,67.3,67.3,0.0,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8_dynamic,8,8,fp,rtn,humaneval_plus,164,60.7,61.3,0.6,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8,8,8,fp,rtn,mmlu,14042,67.95,67.97,0.02,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8,8,8,fp,rtn,mmlu_cot,14042,71.24,71.12,-0.12,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8,8,8,fp,rtn,arc_challenge,1172,82.0,81.66,-0.34,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8,8,8,fp,rtn,gsm8k,1319,81.96,81.12,-0.84,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8,8,8,fp,rtn,hellaswag,10042,80.46,80.4,-0.06,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8,8,8,fp,rtn,winogrande,1267,78.45,77.9,-0.55,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,fp8,8,8,fp,rtn,truthfulqa,817,54.5,53.92,-0.58,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,w4a16,4,16,int,gptq,arena_hard,500,25.8,27.2,1.4,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,w4a16,4,16,int,gptq,mmlu,14042,68.3,66.9,-1.4,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,w4a16,4,16,int,gptq,mmlu_cot,14042,72.8,71.1,-1.7,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,w4a16,4,16,int,gptq,gsm8k,1319,82.8,82.9,0.1,arith,1
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,Meta-Llama-3.1-8B-Instruct,llama-3.1,8.0,1,w4a16,4,16,int,gptq,hellaswag,10042,80.5,79.9,-0.6,arith,1
