model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified
RedHatAI/Llama-3.2-3B-Instruct-FP8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,fp8,8,8,fp,rtn,arc_challenge,1172,77.13,76.62,-0.51,arith,1
RedHatAI/Llama-3.2-3B-Instruct-FP8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,fp8,8,8,fp,rtn,gsm8k,1319,77.94,77.86,-0.08,arith,1
RedHatAI/Llama-3.2-3B-Instruct-FP8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,fp8,8,8,fp,rtn,hellaswag,10042,73.62,73.48,-0.14,arith,1
RedHatAI/Llama-3.2-3B-Instruct-FP8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,fp8,8,8,fp,rtn,winogrande,1267,71.11,70.88,-0.23,arith,1
RedHatAI/Llama-3.2-3B-Instruct-FP8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,fp8,8,8,fp,rtn,truthfulqa,817,51.47,51.65,0.18,arith,1
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,w8a8_int,8,8,int,smoothquant+gptq,mmlu,14042,62.98,62.75,-0.23,arith,1
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,w8a8_int,8,8,int,smoothquant+gptq,mmlu_cot,14042,65.4,65.05,-0.35,arith,1
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,w8a8_int,8,8,int,smoothquant+gptq,arc_challenge,1172,77.13,76.45,-0.68,arith,1
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,w8a8_int,8,8,int,smoothquant+gptq,gsm8k,1319,77.94,77.56,-0.38,arith,1
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,w8a8_int,8,8,int,smoothquant+gptq,hellaswag,10042,73.62,73.63,0.01,arith,1
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,Llama-3.2-3B-Instruct,llama-3.2,3.0,1,w8a8_int,8,8,int,smoothquant+gptq,winogrande,1267,71.11,71.9,0.79,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,mmlu,14042,81.6,81.31,-0.29,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,mmlu_cot,14042,86.58,86.34,-0.24,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,arc_challenge,1172,49.23,51.96,2.73,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,94.16,94.92,0.76,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,hellaswag,10042,86.49,86.43,-0.06,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,winogrande,1267,84.77,84.53,-0.24,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,truthfulqa,817,62.75,63.21,0.46,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,mmlu_pro,12032,51.89,51.5,-0.39,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,ifeval,541,90.89,90.92,0.03,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,bbh,6511,63.15,62.84,-0.31,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,gpqa,448,46.1,46.3,0.2,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,musr,756,44.35,43.96,-0.39,arith,1
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,humaneval,164,83.2,83.7,0.5,arith,1
